Time Stamp, Pressure, System State, Alarm State,,Second ,minutes ,hours,days,year,,,,,,,
1588809864750,15411513,d,1,,1588809864.75,26480164.4125,441336.073541667,18389.0030642361,50.3808303129757,,,,,,,
1588809865000,15426382,d,1,,1588809865,26480164.4166667,441336.073611111,18389.0030671296,50.3808303209031,,,,,,,
1588809865250,15441610,d,1,,1588809865.25,26480164.4208333,441336.073680556,18389.0030700231,50.3808303288305,,,,,,,
1588809865500,15457649,d,1,,1588809865.5,26480164.425,441336.07375,18389.0030729167,50.380830336758,,,,,,,
1588809865750,15473752,d,1,,1588809865.75,26480164.4291667,441336.073819444,18389.0030758102,50.3808303446854,,,,,,,
1588809866000,15489503,d,1,,1588809866,26480164.4333333,441336.073888889,18389.0030787037,50.3808303526129,,,,,,,
1588809866250,15505003,d,1,,1588809866.25,26480164.4375,441336.073958333,18389.0030815972,50.3808303605403,,,,,,,
1588809866500,15520092,d,1,,1588809866.5,26480164.4416667,441336.074027778,18389.0030844907,50.3808303684678,,,,,,,
1588809866750,15535620,d,1,,1588809866.75,26480164.4458333,441336.074097222,18389.0030873843,50.3808303763952,,,,,,,
1588809867000,15550889,d,1,,1588809867,26480164.45,441336.074166667,18389.0030902778,50.3808303843227,,,,,,,
1588809867250,15565583,d,1,,1588809867.25,26480164.4541667,441336.074236111,18389.0030931713,50.3808303922501,,,,,,,
1588809867500,15581107,d,1,,1588809867.5,26480164.4583333,441336.074305556,18389.0030960648,50.3808304001776,,,,,,,
1588809867750,15597174,d,1,,1588809867.75,26480164.4625,441336.074375,18389.0030989583,50.380830408105,,,,,,,
1588809868000,15613482,d,1,,1588809868,26480164.4666667,441336.074444445,18389.0031018519,50.3808304160325,,,,,,,
1588809868250,15629689,d,1,,1588809868.25,26480164.4708333,441336.074513889,18389.0031047454,50.3808304239599,,,,,,,
1588809868500,15645149,d,1,,1588809868.5,26480164.475,441336.074583333,18389.0031076389,50.3808304318874,,,,,,,
1588809868750,15660040,d,1,,1588809868.75,26480164.4791667,441336.074652778,18389.0031105324,50.3808304398148,,,,,,,
1588809869000,15675233,d,1,,1588809869,26480164.4833333,441336.074722222,18389.0031134259,50.3808304477423,,,,,,,
1588809869250,15691750,d,1,,1588809869.25,26480164.4875,441336.074791667,18389.0031163194,50.3808304556697,,,,,,,
1588809869500,15706646,d,1,,1588809869.5,26480164.4916667,441336.074861111,18389.003119213,50.3808304635972,,,,,,,
1588809869750,15723572,d,1,,1588809869.75,26480164.4958333,441336.074930556,18389.0031221065,50.3808304715246,,,,,,,
1588809870000,15739066,d,1,,1588809870,26480164.5,441336.075,18389.003125,50.3808304794521,,,,,,,
1588809870250,15755988,d,1,,1588809870.25,26480164.5041667,441336.075069444,18389.0031278935,50.3808304873795,,,,,,,
1588809870500,15772720,d,1,,1588809870.5,26480164.5083333,441336.075138889,18389.003130787,50.380830495307,,,,,,,
1588809870750,15788357,d,1,,1588809870.75,26480164.5125,441336.075208333,18389.0031336806,50.3808305032344,,,,,,,
1588809871000,15804609,d,1,,1588809871,26480164.5166667,441336.075277778,18389.0031365741,50.3808305111618,,,,,,,
1588809871250,15821163,d,1,,1588809871.25,26480164.5208333,441336.075347222,18389.0031394676,50.3808305190893,,,,,,,
1588809871500,15836084,d,1,,1588809871.5,26480164.525,441336.075416667,18389.0031423611,50.3808305270167,,,,,,,
1588809871750,15852430,d,1,,1588809871.75,26480164.5291667,441336.075486111,18389.0031452546,50.3808305349442,,,,,,,
1588809872000,15868509,d,1,,1588809872,26480164.5333333,441336.075555556,18389.0031481482,50.3808305428716,,,,,,,
1588809872250,15883899,d,1,,1588809872.25,26480164.5375,441336.075625,18389.0031510417,50.3808305507991,,,,,,,
1588809872500,15900083,d,1,,1588809872.5,26480164.5416667,441336.075694445,18389.0031539352,50.3808305587265,,,,,,,
1588809872750,15916421,d,1,,1588809872.75,26480164.5458333,441336.075763889,18389.0031568287,50.380830566654,,,,,,,
1588809873000,15932405,d,1,,1588809873,26480164.55,441336.075833333,18389.0031597222,50.3808305745814,,,,,,,
1588809873250,15948003,d,1,,1588809873.25,26480164.5541667,441336.075902778,18389.0031626157,50.3808305825089,,,,,,,
1588809873500,15963796,d,1,,1588809873.5,26480164.5583333,441336.075972222,18389.0031655093,50.3808305904363,,,,,,,
1588809873750,15981257,d,1,,1588809873.75,26480164.5625,441336.076041667,18389.0031684028,50.3808305983638,,,,,,,
1588809874000,15998058,d,1,,1588809874,26480164.5666667,441336.076111111,18389.0031712963,50.3808306062912,,,,,,,
1588809874250,16014181,d,1,,1588809874.25,26480164.5708333,441336.076180556,18389.0031741898,50.3808306142187,,,,,,,
1588809874500,16030422,d,1,,1588809874.5,26480164.575,441336.07625,18389.0031770833,50.3808306221461,,,,,,,
1588809874750,16047683,d,1,,1588809874.75,26480164.5791667,441336.076319444,18389.0031799769,50.3808306300736,,,,,,,
1588809875000,16064101,d,1,,1588809875,26480164.5833333,441336.076388889,18389.0031828704,50.380830638001,,,,,,,
1588809875250,16081007,d,1,,1588809875.25,26480164.5875,441336.076458333,18389.0031857639,50.3808306459285,,,,,,,
1588809875500,16097050,d,1,,1588809875.5,26480164.5916667,441336.076527778,18389.0031886574,50.3808306538559,,,,,,,
1588809875750,16112466,d,1,,1588809875.75,26480164.5958333,441336.076597222,18389.0031915509,50.3808306617834,,,,,,,
1588809876000,16128680,d,1,,1588809876,26480164.6,441336.076666667,18389.0031944444,50.3808306697108,,,,,,,
1588809876250,16145661,d,1,,1588809876.25,26480164.6041667,441336.076736111,18389.003197338,50.3808306776383,,,,,,,
1588809876500,16163386,d,1,,1588809876.5,26480164.6083333,441336.076805556,18389.0032002315,50.3808306855657,,,,,,,
1588809876750,16179785,d,1,,1588809876.75,26480164.6125,441336.076875,18389.003203125,50.3808306934932,,,,,,,
1588809877000,16196283,d,1,,1588809877,26480164.6166667,441336.076944444,18389.0032060185,50.3808307014206,,,,,,,
1588809877250,16213844,d,1,,1588809877.25,26480164.6208333,441336.077013889,18389.003208912,50.3808307093481,,,,,,,
1588809877500,16230120,d,1,,1588809877.5,26480164.625,441336.077083333,18389.0032118056,50.3808307172755,,,,,,,
1588809877750,16247003,d,1,,1588809877.75,26480164.6291667,441336.077152778,18389.0032146991,50.3808307252029,,,,,,,
1588809878000,16263951,d,1,,1588809878,26480164.6333333,441336.077222222,18389.0032175926,50.3808307331304,,,,,,,
1588809878250,16281799,d,1,,1588809878.25,26480164.6375,441336.077291667,18389.0032204861,50.3808307410578,,,,,,,
1588809878500,16299571,d,1,,1588809878.5,26480164.6416667,441336.077361111,18389.0032233796,50.3808307489853,,,,,,,
1588809878750,16315597,d,1,,1588809878.75,26480164.6458333,441336.077430556,18389.0032262731,50.3808307569127,,,,,,,
1588809879000,16332798,d,1,,1588809879,26480164.65,441336.0775,18389.0032291667,50.3808307648402,,,,,,,
1588809879250,16350666,d,1,,1588809879.25,26480164.6541667,441336.077569444,18389.0032320602,50.3808307727676,,,,,,,
1588809879500,16368187,d,1,,1588809879.5,26480164.6583333,441336.077638889,18389.0032349537,50.3808307806951,,,,,,,
1588809879750,16386155,d,1,,1588809879.75,26480164.6625,441336.077708333,18389.0032378472,50.3808307886225,,,,,,,
1588809880000,16404076,d,1,,1588809880,26480164.6666667,441336.077777778,18389.0032407407,50.38083079655,,,,,,,
1588809880250,16420454,d,1,,1588809880.25,26480164.6708333,441336.077847222,18389.0032436343,50.3808308044774,,,,,,,
1588809880500,16437408,d,1,,1588809880.5,26480164.675,441336.077916667,18389.0032465278,50.3808308124049,,,,,,,
